Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
Tarzan: The Musical | Friday 6:30pm,"Join us for an unforgettable musical adventure about love, family, and finding where you belong! Join Shine Theatre Company for an unforgettable adventure filled with soaring vocals, wild dance numbers, and a story about love, family, and finding where you belong. With music by Phil Collins and a story full of adventure, heart, and high-energy fun, this show is packed with musical excitement that only live theatre can provide. We can’t wait to see you in the jungle!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175006123%2F2300270875363%2F1%2Foriginal.20260115-223855?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=b8a57b26ab875f1147aa7fd185930c51,04/24/2026,06:30 PM,04/24/2026,09:00 PM,Highlands Church,9050 East Pinnacle Peak Road,Scottsdale,AZ,85255,https://eventbrite.com/e/tarzan-the-musical-friday-630pm-tickets-1982979110901
Drifting Roots,"Drifting Roots w/ special guests The Tones, and The Conveyors",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1174077589%2F269527761274%2F1%2Foriginal.20260106-053322?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=f1d0ddf06ad15ebff25d704d4f9734b2,05/07/2026,07:30 PM,05/07/2026,,Last Exit Live,717 S. Central Ave,Phoenix,AZ,85004,https://eventbrite.com/e/drifting-roots-tickets-1979840008762
Vamos A Reir Un Poco (Let's laugh a little) - MESA ARIZONA,"Award-winning storyteller, writer and actor, Rick ""Wind"" Herrera, is back with a new one-man show and you don't want to miss this!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1110995473%2F149069558275%2F1%2Foriginal.20250901-220409?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.005&fp-y=0.005&s=396fde91e69cc515b7fa87677f29e361,04/18/2026,04:00 PM,04/18/2026,06:00 PM,Main Street Creative Arts Center,933 East Main Street,Mesa,AZ,85203,https://eventbrite.com/e/vamos-a-reir-un-poco-lets-laugh-a-little-mesa-arizona-tickets-1653115656429
"The Choirs at Phoenix College present ""Coronation""","The last performance of the season features the stately and iconic ""Coronation Mass"" and the Piano Concert No. 14 by Wolfgang Amadeus Mozart",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1060916123%2F104462088559%2F1%2Foriginal.20250626-050430?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=88f167361e3a4d108273a2c0461c7f8a,05/05/2026,07:30 PM,05/05/2026,09:00 PM,Bulpitt Auditorium,1202 West Thomas Road,Phoenix,AZ,85013,https://eventbrite.com/e/the-choirs-at-phoenix-college-present-coronation-tickets-1435970258699
Tarot Curd: A Cheese & Card Reading,"An unusual pairing or a divine match? Tarot and cheese have more in common than you think! Ever wonder what your cheese says about you? (Us neither, until now.) Join us for an evening where ancient mysticism meets artisan dairy - because why shouldn't cheese have its fortune told? We're pairing six spectacular American cheeses with Major Arcana tarot cards, exploring the stories, personalities, and straight-up magic in each wheel. Pull a card at the door. Find your cheese on the board. Taste your way through fresh chèvre innocence, cave-aged wisdom, and the beautiful chaos of blue mold breaking through. We'll talk about transformation, partnership, disruption, and joy - all through the lens of really, really good cheese. No tarot experience needed. No cheese expertise required. Just bring your curiosity and maybe a sense of humor about the whole thing. This is mysticism you can eat. Fortune-telling you can taste. The Whey of the Cards. Space is limited to keep things intimate. Grab your spot before they vanish into the ether (or, you know, sell out).",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176691315%2F924957775553%2F1%2Foriginal.20260204-173159?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=1f610a71dc0a312991be707493e22d4d,04/25/2026,07:00 PM,04/25/2026,08:30 PM,Shea Cheese Lounge,10880 North 32nd Street,UNIT 21 Phoenix,AZ,85028,https://eventbrite.com/e/tarot-curd-a-cheese-card-reading-tickets-1982366471480
TECHSPO Phoenix 2026 Technology Expo (Internet ~ AdTech ~ MarTech),"TECHSPO Phoenix Technology Expo (Internet ~ Mobile ~ AdTech ~ MarTech ~ SaaS) - June 11 - 12, 2026 - Phoenix, AZ Step into the future at Here’s why you can’t miss it: Now in its Alongside TECHSPO, attendees also have exclusive access to 👉 For complete event details, visit: Get ready to explore these exciting zones at The Visitor Pass does NOT include: The Training Pass does NOT include: The All Access Pass does NOT include: For the best onsite experience a 1-Day Training Pass, 2-Day All Access Pass or 2-Day VIP Pass is recommended. Are you ready to experience ⚡",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1165052763%2F167645577512%2F1%2Foriginal.20251029-020118?w=600&auto=format%2Ccompress&q=75&sharp=10&s=0d725eb338dbb4c21b46eeaf82966ecd,06/11/2026,09:00 AM,06/12/2026,04:00 PM,Hyatt Regency Phoenix,122 North 2nd Street,Phoenix,AZ,85004,https://eventbrite.com/e/techspo-phoenix-2026-technology-expo-internet-adtech-martech-tickets-1653506605769
"Comedy Hypnosis & Mentalism Night at Cheers Tavern - Glendale, AZ","Comedy Hypnosis & Mentalism Night at Bonfire - Glendalen AZ Ready for an unforgettable evening of laughter and mind-bending entertainment? 🤣✨ Join No Regrets, No Regrets! All sales are like your grandma's fruitcake—once they're made, they're final. No refunds unless, of course, you discover that you have secret mind-reading powers after the show. In that case, you owe us a mental high-five. Only if the event is canceled you will get a refund. Phones Must Nap! Please, oh please, be a pal and TURN 'OFF' those pesky cell phones. We promise your Instagram and Facebook feeds will survive without you for an hour. Plus, it'll give Siri a well-deserved rest. No Paparazzi Allowed! Sorry, no blockbuster movie deals for filming or snapping pics during the show. We know our show is drop-dead amazing, but let's keep it a secret, like Aunt Mildred's recipe for mystery meatloaf. No Audio, No Video, No Photography allowed. Age Before Stage! We love kids, really, but this stage is for the big kids at heart. No children under 17 on stage unless they can levitate on their own (then we'd like to know their secret, please). Prepare your minds, folks! We're about to take you on a rollercoaster of disbelief. Fasten your seatbelts and let the mental mayhem begin! Johnathan Smith The Reality Twister has been fortunate to be able to provide his clients with world-class entertainment for their events that leaves their guests flabbergasted and talking about their experience for YEARS! Power 98.3, 107.7 The Lake, NBC, Today’s Family, Digital Journal, Forbes, NY Review, New York Weekly, News Net Los Angeles, BIZWeekly, Fox 40 — and many more! See you there! 😄🎭.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173999643%2F704289525383%2F1%2Foriginal.20260105-135521?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=76ac0cf8f6fbe0a6731120a3753e9e0c,04/17/2026,07:00 PM,04/17/2026,08:00 PM,Cheers Tavern,5915 West Bell Road,Glendale,AZ,85308,https://eventbrite.com/e/comedy-hypnosis-mentalism-night-at-cheers-tavern-glendale-az-tickets-1979722346832
PHOENIX LOCK & KEY SINGLES PARTY Age 35-50 ♥ Arizona at PROVISION,"Woman gets locks, men get keys, unlock & meet your match! New friends, Romance, maybe the LOVE of Your Life! The ORIGINAL TRADEMARKED EVENT. Single women get a lock, single men get a key. Meet and mingle as you try to unlock and win prize tickets - but the real prize is all the great people you'll meet as you try to match with everyone in the room. You'll meet 20-50 potential matches of the opposite gender. Make new friends, meet your match....or just have a great time! You'll meet way more people than at speed dating, and you can talk to those you like for as long as you like. We are THE Lock and Key Event you've heard about! So get your ticket - and maybe one for a friend - then meet us there to Unlock Your Possibilities... Lock and Key is the perfect icebreaker. It's like no other party you've attended! What a great way to unwind after a long work week...or kick off a night on the town! This is the REAL, Trademarked, Lock & Key Singles Event! We've been bringing people together Since 2001 with our fun singles parties, Speed Dating, and Lock & Key singles mixers -- come see who YOU'LL meet! TRADEMARK: This is a great party and others want to try it, but we caution anyone attempting to promote their own lock and key or confusingly similar products or services. We will prosecute infringement anywhere in the USA. Lock and Key®/Lock & Key®/Lock N Key® are federally registered trademarks of Lock and Key Events and we reserve the right to restrict the use of the concept, OR A CONFUSINGLY SIMILAR CONCEPT OR NAME, in association with confusingly similar products or services.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176619792%2F1790696752063%2F1%2Foriginal.20260203-230023?w=600&auto=format%2Ccompress&q=75&sharp=10&s=25f1efe4fd85f03c3c785d5bbe58c713,04/24/2026,06:30 PM,04/24/2026,08:30 PM,PROVISION,711 E Missouri Ave,Ste 115 Phoenix,AZ,85014,https://eventbrite.com/e/phoenix-lock-key-singles-party-age-35-50-arizona-at-provision-tickets-1982318153961
Couples Workshop-Hold Me Tight®,"Couples will learn to overcome negative stuck spots, communicate for closeness and care, and heal relational hurts and injuries. Our Hold Me Tight® Workshop for Couples is based on Attachment Theory, Emotionally Focused Couples Therapy, and the international best-selling book ""Hold Me Tight: Seven Conversations for a Lifetime of Love"" by Dr. Sue Johnson. In our workshop, you will learn what is at the root of most conflicts between you and your partner, and how to change those moments through a proven method that all couples can do. Investing in a couples workshop as a new couple, engaged or newlywed pair is one of the most proactive and rewarding steps you can take for your relationship. These workshops equip you with tools to navigate challenges, communicate effectively, and build a strong foundation rooted in mutual understanding and respect. Think of it as preventative care for your love—addressing potential issues before they arise and fostering a deeper connection that lasts. Prioritize this relationship early!**This is also a great gift to consider for loved ones and family members who are wanting to learn about creating healthy relationship foundations but might not have the resources to attend** For couples who have been together for years, a couples workshop can reignite the spark and strengthen the connection that first brought you together. Over time, life’s demands can lead to communication gaps or unspoken frustrations, but this workshop provides a safe and supportive space to reconnect. You’ll learn new strategies to deepen intimacy, resolve conflicts, and rediscover the joy in your partnership. Whether you’re navigating a rough patch or simply seeking to grow together, this experience can breathe new life into your relationship, fostering a bond that’s resilient and more fulfilling than ever. You will not be doing large group sharing as much as having private conversations with your partner and the two of you have an option to utilize the therapists that are assisting to help with these conversations. This workshop will be facilitated by Michelle Hildt and the Therapy With Heart Team. Hold Me Tight® is a registered trademark to Sue Johnson",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F542334609%2F132187112645%2F1%2Foriginal.20230624-204645?w=600&auto=format%2Ccompress&q=75&sharp=10&s=073e65436fbc8b4884f1b77d2ec23804,04/24/2026,05:00 PM,04/25/2026,04:30 PM,Fuller Seminary Arizona,1110 East Missouri Avenue,530 Phoenix,AZ,85014,https://eventbrite.com/e/couples-workshop-hold-me-tight-tickets-1980153496412
HARLOW ROAD//901KRUEGER//NOTLEWY//NORMALIKE LIVE @ CANDY AND RECORDS!!!,COME HANG OUT IN PHOENIX!!!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177750196%2F2614481333281%2F1%2Foriginal.20260217-181449?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.525&fp-y=0.02&s=88aa3ee165e2af1eb3940f025dc9a6b9,05/31/2026,07:00 PM,05/31/2026,10:00 PM,9402 N Central Ave suite 8a,9402 North Central Avenue,suite 8a Phoenix,AZ,85020,https://eventbrite.com/e/harlow-road901kruegernotlewynormalike-live-candy-and-records-tickets-1982610460257
Fantastic,"High energy warehouse event featuring top house and EDM DJ's, dancers, fire performers, and immersive vibes until sunrise. Step into a high energy warehouse experience designed to bring people together through music, movement, and connection. This is a Three stage event featuring a powerful collaboration of nightlife producers, promoters, and DJ's delivering house, EDM, and late-night circuit energy from 10PM until sunrise. The mainstage will deliver the heartbeat of the night, while a transformed party bus stage offers an intimate high intensity dance experience, and a Big Black Bus Stage will provide a karaoke escape to live your best popstar life. Throughout the evening and early morning attendees can expect: Gogo performers Fire performers A fully immersed lighting experience Food and Beverage trucks Pop-up venders Outdoor space This event is about more than muisc. It is about creating a safe, inclusive space where different communities intersect, house heads, ravers, circuit lovers, allies, and newcomers alike. Come dressed to express. Come ready to move. Come ready to connect. This is not just a party. It's a moment. It's new memories made for a lifetime.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179629819%2F2993726637568%2F1%2Foriginal.20260311-203008?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.027&fp-y=0.75&s=11c39bf2204657cbbfa5394e2ee4a6b2,05/08/2026,10:00 PM,05/09/2026,06:00 AM,The Fillmore,2130 West Fillmore Street,Phoenix,AZ,85009,https://eventbrite.com/e/fantastic-tickets-1984203316533
"LimeLife Palooza - July 23rd-25th, 2026","Palooza is the BIGGEST and BEST LimeLife event of the year - don't miss it! Still sparkling from Palooza 2025? Or determined not to miss out next time? Now’s your chance to lock in your spot. We’re gearing up for LimeLife Palooza 2026 ✔️ ✨ We’ve secured a special group rate exclusively for our community — but rooms will go quickly. Get ready for a Your next annual Beauty Guide fee is waived! That's right, when you invest in your business by coming to Palooza, your next annual fee* is on us! ​As excitement builds for Palooza 2026, we know many of you have questions about Team Tickets, table placement, and how to make sure your group is seated together. To help you plan with confidence, we’ve compiled the answers to our most frequently asked questions below. We hope this helps clarify everything you need to know about Team Tickets and seating at Palooza 2026. If you have additional questions, please reach out to Customer Care using the form in our help center",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177774493%2F197454677721%2F1%2Foriginal.20260217-215302?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.497&fp-y=0.401&s=d8ea56f69bb8e9ad5f14e38fa3575e2d,07/23/2026,,07/23/2026,,Grand Hyatt Scottsdale Resort,7500 East Doubletree Ranch Road,Scottsdale,AZ,85258,https://eventbrite.com/e/limelife-palooza-july-23rd-25th-2026-tickets-1497551981289
WIISE Workshop,"Join the WIISE Workshop for hands-on fun, learning, and connecting with cool people in person! WIISE Workshop The WIISE Workshop will be held on May 5, 2026 in Scottsdale, AZ at the Talking Stick Resort! We will begin with breakfast at 8 AM, with our workshop beginning at 9 AM! You asked and we listened, we are moving back to the workshop focus where we learn from each other, and apply it to our every day lives. We hope to see you there! Rooms are aviailable for $244/night at The Talking Stick Resort",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175988329%2F2990040781930%2F1%2Foriginal.20260127-201335?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.475&fp-y=0.71&s=a6ba9c0c8a55128fdff4fd71ce0ca312,05/05/2026,08:00 AM,05/05/2026,07:00 PM,Talking Stick Resort Hotel,9800 East Talking Stick Way,Scottsdale,AZ,85256,https://eventbrite.com/e/wiise-workshop-tickets-1981592835514
