Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
Devo: Mutate Don't Stagnate - An Evening With Devo,"Hello Lincoln & Easy Partners present a DEVO merch pop-up & screening/Q&A. Hello Lincoln and Easy Partners present: This event features two components: first is a free merch pop- up shop running from 3 PM-10 PM, featuring DEVO merch, Spud Patrol, Phoenix's premier DEVO cover band, DJ Kate Scratch Fever, and exclusive t-shirts and posters designed by underground comix artist Brad Dwyer, plus art by various artists. At 6 PM, doors will open for a screening of the documentary Your tickets grant you a DEVO energy dome and access to this special event. Seating begins at 6 PM, followed by the screening at 7 PM and the Q&A to follow.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178044762%2F1957908346813%2F1%2Foriginal.20260220-175157?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=361e1fb0f52cf4a3fe7bdab17b5d1107,04/11/2026,03:00 PM,04/11/2026,10:00 PM,Hello Lincoln,850 West Lincoln Street,Phoenix,AZ,85007,https://www.eventbrite.com/e/devo-mutate-dont-stagnate-an-evening-with-devo-tickets-1982205813949
Lihn Law Group 2026 Elder Care and Legal Symposium,"Join us at the Lihn Law Group 2026 Elder Care and Legal Symposium for a day of learning innovative solutions on critical elder care issues. Professionals who serve older adults are often the first to recognize when something has begun to change. A client who once managed everything independently begins to struggle with decisions. A family senses vulnerability but isn’t sure what steps to take. Financial behavior shifts unexpectedly. Situations emerge gradually, without clear answers, and professionals are asked to help navigate what comes next. These moments carry real consequences — for safety, autonomy, and quality of life. The Lihn Law Group Elder Care & Legal Symposium was created to support professionals in exactly these moments. This interdisciplinary symposium brings together clinical, legal, advocacy, and investigative perspectives to help professionals strengthen awareness, deepen judgment, and respond thoughtfully when supporting older adults and vulnerable individuals. This year’s program will address critical issues professionals increasingly encounter in practice, including: • Recognizing and assessing diminished decision-making capacity Attendance is limited to preserve a meaningful and interactive professional environment. Early registration is encouraged. This symposium is designed for professionals who work with or support older adults, including: • Social workers If your work involves supporting older adults or vulnerable individuals, this symposium will provide practical insight and interdisciplinary perspective relevant to your role. • Eight (8) credits were approved, by NASW, for Licensed Social Workers. *Continuing education credits are currently pending approval for Case Managers. Professionals supporting older adults are often called upon to help navigate situations where there is uncertainty, vulnerability, and no clear roadmap. This symposium provides an opportunity to learn from interdisciplinary experts, strengthen professional judgment, and connect with others who share a commitment to protecting and supporting vulnerable individuals. This annual gathering reflects a shared responsibility among professionals to serve older adults with clarity, skill, and compassion.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178258211%2F2323604223413%2F1%2Foriginal.20260223-233948?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=f2b45935d7533cbf2a3ef6283616f7e8,04/16/2026,08:00 AM,04/16/2026,04:00 PM,Glendale Civic Center,5750 West Glenn Drive,Glendale,AZ,85301,https://www.eventbrite.co.uk/e/lihn-law-group-2026-elder-care-and-legal-symposium-registration-1983830795312
Passion for Humanity - Where Love Meets Need,"Join us as we share our mission, reflect on what God has accomplished, and cast our vision for the future.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175134219%2F1958485126203%2F1%2Foriginal.20260117-181913?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.446&s=e9e50ef69b5f342299c78074c3dcbb6a,04/19/2026,01:30 PM,04/19/2026,03:30 PM,St Joan Of Arc Catholic Church,3801 East Greenway Road,Phoenix,AZ,85032,https://www.eventbrite.com/e/passion-for-humanity-where-love-meets-need-tickets-1980569272008
2026 Annual Arizona Genetics Alliance Education Conference,"Join us at the 2026 Annual Arizona Genetics Alliance Education Conference for a day of learning and networking! The AGA is hosting our 6th annual education conference, a premier event dedicated to advancing knowledge and fostering collaboration within the genetic counseling community. The conference offers a unique platform for networking, learning, and sharing the latest developments in genetics and genetic counseling. Don’t miss this exciting opportunity to enhance your expertise and connect with colleagues! We are excited to offer a hybrid event this year. Attendees may join in-person or virtually. The in-person event will be held at the Check-in will start at 7 AM. See the agenda to learn more about the layout for the day. The various talks and activities will be held in room 173A/B. The National Society of Genetic Counselors (NSGC) has authorized Arizona Genetics Alliance to offer up to Financial assistance is also available for any member in need. Please email the AGA Education Committee at educationcommitteeaga@gmail.com to inquire about this.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181224489%2F541785252833%2F1%2Foriginal.20260401-184114?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.081&fp-y=0.269&s=3de7e42e069d7a30691ce56eb42ba45e,04/24/2026,07:30 AM,04/24/2026,05:00 PM,ASU Health Futures Center,6161 East Mayo Boulevard,Room 173 A/B Phoenix,AZ,85054,https://www.eventbrite.com/e/2026-annual-arizona-genetics-alliance-education-conference-registration-1982550488881
Healing The Root Women's Gathering,"Don't miss this opportunity to renew your mind in a safe and supportive environment. We are going to have a blast! Invite a friend. Get ready for an unforgettable in-person experience where amazing women come together to celebrate, connect, heal, and inspire. This event honors women and their journey. Whether you’re looking to make new friends or just enjoy a day filled with positive energy, this event is all about pure, authentic moments with the Father and each other that you will cherish forever. Don’t miss out on the fun but pivotal moment—let’s create some beautiful memories together!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176235768%2F147982988156%2F1%2Foriginal.20260130-060526?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=9e5bb65c54a2e111bcdcdd59c3c8c229,05/16/2026,11:00 AM,05/16/2026,03:00 PM,Hilton Garden Inn Phoenix/Avondale,11460 West Hilton Drive,Avondale,AZ,85323,https://www.eventbrite.com/e/healing-the-root-womens-gathering-tickets-1979739035749
Wine tasting to support people living with Multiple Sclerosis,"Sip some wine, support MS warriors, and have a blast at our second annual wine tasting event! Join us for a fun and relaxed wine tasting event! Sip on delicious wines while showing your support for those living with Multiple Sclerosis. It's a great way to enjoy good company, great flavors, and make a difference. Don't miss out on this special gathering—cheers to raising awareness and having a fantastic time! Grab your tickets today and snag the best price! Each one lets you enjoy five wine tastings and a full pour, with 20–30 different wines to sample. When you find your favorite, feel free to buy a bottle to take home!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173837960%2F2987647154007%2F1%2Foriginal.20260102-144004?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.618&fp-y=0.551&s=85db8ad49045679dbb71f7373e8d6efa,04/11/2026,03:00 PM,04/11/2026,06:00 PM,Creighton University Health Sciences Campus - Phoenix,3100 North Central Avenue,Ballroom Phoenix,AZ,85012,https://www.eventbrite.com/e/wine-tasting-to-support-people-living-with-multiple-sclerosis-tickets-1979522312524
2026 Phoenix All Pro Dad Experience,"Join All Pro Dad for a Saturday morning you’ll never forget! It starts when you and your child experience the thrill of stepping onto the field of the Great Lawn at Sportsman's Park! You’ll spend the next few hours connecting with your kids – with plenty of fun and games plus some practical fatherhood tips you can take home and put into practice. You won’t want to miss this memorable Phoenix All Pro Dad Experience, created just for you and your kids. All Pro Dad Experiences cater specifically to Elementary + Middle school aged kids.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177398336%2F150205260931%2F1%2Foriginal.20260212-181447?w=600&auto=format%2Ccompress&q=75&sharp=10&s=35fa5acf3b9414cf0fc63d799be1f6a3,04/11/2026,09:00 AM,04/11/2026,12:00 PM,Sportsman's Park,1 Cardinals Drive,Glendale,AZ,85305,https://www.eventbrite.com/e/2026-phoenix-all-pro-dad-experience-tickets-1982983871139
"AZ Women's Expo Beauty + Fashion + Pop Up Shops, Celebs, April 25-26","Over 400 Pop Up Shops, Free Samples, Tastings, Beauty Treatments, Fashion Shows, DIY Craft Workshops, Valerie Bertinelli, Cameron Mathison! Time for you to get pampered with",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180177066%2F86652121411%2F1%2Foriginal.20260318-203734?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.415&fp-y=0.535&s=d9b2d4a1df2d266cfd321e518f946173,04/25/2026,,04/26/2026,,Phoenix Convention Center,33 South Third Street,Phoenix,AZ,85003,https://www.eventbrite.com/e/az-womens-expo-beauty-fashion-pop-up-shops-celebs-april-25-26-tickets-1980583396254
2026 Public Interest Communications Summer Institute,"Join us at Arizona State University as we learn, share and explore the emerging academic discipline of public interest communications! The Join university and college faculty, students, researchers, administrators and professionals who want to learn and share knowledge about the growing academic discipline of The institute offers valuable skills, networking opportunities and new friendships. Whether you are well-versed in strategic communications for social change or new to the field, this institute is for you! First time? Welcome!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1137948553%2F490460364049%2F1%2Foriginal.20250928-162943?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.885&fp-y=0.293&s=6067290172a556d6e1c9edcb4fdd3130,05/19/2026,,05/21/2026,06:00 PM,Walter Cronkite School of Journalism and Mass Communication,555 North Central Avenue,Phoenix,AZ,85004,https://www.eventbrite.com/e/2026-public-interest-communications-summer-institute-tickets-1751786924849
Unstoppable Us: A One Day Marriage Experience,A one day marriage experience to reconnect and invest in your marriage. Join us for Unstoppable Us is May 2nd at Dream City Scottsdale.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175521329%2F700684274053%2F1%2Foriginal.20260122-040150?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=d1ed943d7619f0fda3048d392c40c6f4,05/02/2026,09:00 AM,05/02/2026,03:00 PM,Dream City Church • Scottsdale Assemblies of God,28700 North Pima Road,Scottsdale,AZ,85266,https://www.eventbrite.com/e/unstoppable-us-a-one-day-marriage-experience-tickets-1976822435118
The Lowrider Lawyers Present Ikonic’s Taco & Low Lows Music Festival,"DJ Quik | Paul Wall | Baby Bash | Suga Free | LiL Rob | Luniz | Slim Thug | RBL Posse | Hi-C | Tony A | DJ Battlecat | Krystall Poppin ⏰: 1pm-11pm 📍10020 N Ball Park Blvd, Glendale, AZ 85305 🥊 🚗 🍔 By purchasing a ticket and entering a venue, attendees agree to a liability waiver, which is often printed on the back of the ticket or included in online terms and conditions. Non-lethal weapons of any kind – including, but not limited to,the following:Extendable Batons,Knive, Swords, Tasers/Stun Guns, Mace/Pepper Spray andOther items may be deemed impermissible on a case-by-case basis at the discretion of management.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179823943%2F560797294007%2F1%2Foriginal.20260314-002206?w=600&auto=format%2Ccompress&q=75&sharp=10&s=8af46170ad785f4c08d8a0bca387d4cb,04/11/2026,01:00 PM,04/11/2026,11:00 PM,West Valley Events Complex,10020 North Ball Park Boulevard,Glendale,AZ,85305,https://www.eventbrite.com/e/the-lowrider-lawyers-present-ikonics-taco-low-lows-music-festival-tickets-1982302220303
Blazing New Trails The Arizona Professional Writers Conference 2026,"Join us in Arizona 2026 to spark your creativity and connect with fellow writers blazing new trails! Get ready to ignite your creativity at the Blazing New Trails conference! Join fellow writers in sunny Arizona for an inspiring, in-person experience packed with workshops, networking, and tons of fun. Whether you're a seasoned pro or just starting out, this is the place to connect, learn, and grow. Don't miss out on making new friends and blazing your own writing path!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179612613%2F2987884275318%2F1%2Foriginal.20260311-175915?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.477&fp-y=0.503&s=b1aa98c3fb60c0c6db1457b4179c9551,04/25/2026,09:00 AM,04/25/2026,03:00 PM,Western Spirit: Scottsdale’s Museum of the West,3830 North Marshall Way,Scottsdale,AZ,85251,https://www.eventbrite.com/e/blazing-new-trails-the-arizona-professional-writers-conference-2026-tickets-1979830926597
"Glendale, AZ - Little Mania Mini Wrestling @ The 44 Grill","""The Shortest Fight of them All!"" Little People Flying Fists Match Trash Can Slams Cheese Graters Slap Ladder Dives OH MY GOD tiny hands 🔥 Get ready for the biggest little wrestling event of the year! The Mini-Wrestling * All Stars are coming to town: these pint-sized powerhouses pack a punch! 💪 Watch as these mighty miniatures, tiny titans, and wee warriors take to the ring and battle it out for the championship title! 🔥 This is an itsy-bitsy, teeny-weeny, once-in-a-lifetime opportunity to see some of the world's most talented wrestlers in action. ⏱️ So, what are you waiting for? Get your tickets now: The window of opportunity is shrinking - these events sell out every time! 🥊 Watch a trailer video here:",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1159196443%2F2666934321871%2F1%2Foriginal.20251021-235933?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=c78b55026377314d800518d28be04425,04/12/2026,08:00 PM,04/12/2026,10:00 PM,4494 W Peoria Ave,4494 West Peoria Avenue,Glendale,AZ,85302,https://www.eventbrite.com/e/glendale-az-little-mania-mini-wrestling-the-44-grill-tickets-1854881663989
Space Rising I Supernova Gala,Bringing together leaders across the space ecosystem for an inspiring evening dedicated to the future of space. April 29 I 6:00-10:00 pm • • • Formal Dinner,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179691240%2F2987324319877%2F1%2Foriginal.20260312-145804?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=084efa60374817af8b60f5ee0f6f012d,04/29/2026,06:00 PM,04/29/2026,10:00 PM,Hyatt Regency Phoenix,122 North 2nd Street,Phoenix,AZ,85004,https://www.eventbrite.com/e/space-rising-i-supernova-gala-registration-1979183261413
2026 Physician Conference: The Future of Medicine in Arizona,"Join the Arizona Medical Association for education on the future of medicine, a fireside chat with the AMA President & so much more! Registration is now open for the Our premier conference is",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177316348%2F685326617753%2F1%2Foriginal.20260211-204148?w=600&auto=format%2Ccompress&q=75&sharp=10&s=5fb43b82829ca8491c97be9d1ea1714b,05/02/2026,07:30 AM,05/02/2026,06:30 PM,Creighton University Health Sciences Campus - Phoenix,3100 North Central Avenue,Phoenix,AZ,85012,https://www.eventbrite.com/e/2026-physician-conference-the-future-of-medicine-in-arizona-tickets-1982294029805
