Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
"Performance Management 1 Day Workshop | Scottsdale, AZ","Get ready to level up your skills and learn effective strategies for boosting your team's performance in this interactive workshop! Effective performance management is more than completing yearly appraisals—it's a continuous process that strengthens communication, boosts productivity, and builds a motivated workforce. Through hands-on activities, guided discussions, case studies, and performance review simulations, participants will learn how to set clear expectations, give meaningful feedback, address performance gaps, and support employees in reaching their full potential. Whether you are new to managing people or looking to enhance your leadership effectiveness, this workshop equips you with the skills required to drive team performance and achieve organisational goals. By the end of the workshop, participants will be able to: 🎓 All participants will receive a Want this course delivered at your workplace or for your team? We offer customized onsite and virtual sessions for companies.📩 Email us at",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171922832%2F2510240842121%2F1%2Foriginal.20251128-153810?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.499&fp-y=0.45&s=041b51e1815629d14970c11faec2d14b,Multiple dates,,,,For venue details reach us at info@learnerring.com,PH: +1505 369 2908,Scottsdale,AZ,85260,https://eventbrite.com/e/performance-management-1-day-workshop-scottsdale-az-tickets-1976438162749
"ITIL 4 Training This Month in Phoenix, AZ – Enroll Now","ITIL Foundation provides a foundational understanding of the ITIL framework for IT service management, offering guidance and best practices. The Foundation level is the entry level certification and offers you a general awareness of the key elements, concepts, and terminology used in the ITIL® service lifecycle, including the links between lifecycle stages, the processes used and their contribution to service management practices.Learners Ink ITIL® Foundation Exam Prep is designed and developed by the global panel of ITIL® Expert instructors to ensure that our participants pass the ITIL® Foundation exam on their first attempt. Our hands-on training helped many participants in transforming their careers. Our Lead Instructor focus on the key concepts, terminologies and elements included with ITIL® service lifecycle management. The training includes best practices from ITSM processes and Service Management, ITIL® lifecycle Phase Interactions & Outcomes. Service Design: Design Coordination, Service Catalog Management, Service Level Management, Availability Management, Capacity Management, IT Service Continuity Management, Information Security Management. Service Transition: Transition Planning & Support, Change Management, Service Asset & Configuration Management, Release & Deployment Management, Service Validation & Testing, Change Evaluation, Knowledge Management Service Operation: Event Management, Incident Management, Request Fulfilment, Problem Management, Access Management, and the functions of: IT Operations, Technical Management, Application Management, Service Desk Continual Service Improvement: Seven-Step Improvement Process ITIL 4 contains seven guiding principles that were adopted from the most recent ITIL Practitioner Exam, which covers organizational change management, communication, and measurement and metrics. These principles include: · Focus on value · Start where you are · Progress iteratively with feedback · Collaborate and promote visibility · Think and work holistically · Keep it simple and practical · Optimize and automate ITIL 4 focuses on company culture and integrating IT into the overall business structure. It encourages collaboration between IT and other departments, especially as other business units increasingly rely on technology to get work done. Courseware Approved by PEOPLECERT16 hours of instructor-led training (for Traditional classroom and Online Classroom Training) Industry-based case studies & real world-examples Chapter end quizzes & 2 simulation exams 100% Money Back Guarantee* Exam fee included (Exam fee not included for Online Self Learning) 24/7 support via email, online chat, telephone · Manage risk in line with business & service disruption or failure · Show value for money · Optimize customer experience · Enable business change · Aids continuous service improvement · Support business outcomes · The salary ranges from $81,040 to $111,053 per year There is no defined eligibility criterion for ITIL Foundation exam. In order to pass the exam, you will need to get 28 of the 40 questions right, or score a 70%. This means you can get up to 12 questions wrong and still pass. Exam will be conducted Online at your preferred time. We also conduct Onsite training for",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172035128%2F352227447965%2F1%2Foriginal.20251201-043636?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=e47d8521c949accf9943ca99403ce97d,Multiple dates,,,,19820 N 7th St,19820 North 7th Street,Phoenix,AZ,85024,https://eventbrite.com/e/itil-4-training-this-month-in-phoenix-az-enroll-now-tickets-1976426117722
"Landing Page Optimization & UX Essentials – 1 Day Course in Phoenix, AZ","Learn how to design landing pages that convert by applying UX principles, layout strategy, clear messaging, and user-focused content. Save Duration: 1 Full Day (8 Hours) This workshop builds practical skills in creating high-converting landing pages and applying UX fundamentals to improve user engagement. Participants learn how layout, messaging, visual hierarchy, call-to-action placement, and content clarity influence user behavior. The course focuses on simple, repeatable techniques that help users move smoothly toward desired actions. By the end of the session, participants will be able to design or evaluate landing pages with confidence and make data-driven optimization improvements. • Understand what drives conversions on landing pages • Digital Marketers Many landing pages fail not because of bad design but because they do not guide users clearly or connect to real user motivations. This course simplifies UX and conversion strategy so participants can apply changes immediately—no design background required. You will leave with ready-to-use templates, messaging formulas, layout patterns, and optimization checklists that improve website performance right away. Know a team or professional who could benefit from our workshops? Refer them and earn attractive royalties for every successful registration",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172676680%2F2740397811611%2F1%2Foriginal.20251210-114557?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=85b1a101304b02c239e7f371198e759c,Multiple dates,,,,"regus AZ, Phoenix - 24th and Camelback",2375 East Camelback Road Suite 600,Ph No +1 469 666 9332 Phoenix,AZ,85016,https://eventbrite.com/e/landing-page-optimization-ux-essentials-1-day-course-in-phoenix-az-tickets-1976697025013
"Leading Technical Projects Effectively – 1 Day Course in Phoenix, AZ","Learn how to lead technical teams effectively by balancing technical insight, stakeholder alignment, and structured project execution. Save Duration: 1 Full Day (8 Hours) This workshop focuses on developing the leadership capabilities required to guide technical projects and technical teams toward successful outcomes. You will learn how to translate technical complexity into clear direction, manage cross-functional expectations, support decision-making, and maintain project momentum. By integrating practical leadership practices with structured project execution, this course helps technical professionals step confidently into influential leadership roles and deliver results with clarity and consistency. • Lead technical teams with clarity and confidence • Technical Leads & Engineering Leads Technical leadership requires more than expertise — it requires the ability to guide people, structure progress, and steer decision-making with clarity. This course bridges the gap between technical depth and leadership capability, helping participants lead confidently in complex environments. By focusing on communication, collaboration, prioritization, and execution discipline, participants gain practical leadership tools they can apply immediately to improve team alignment, productivity, and project outcomes. Know a team or professional who could benefit from our workshops? Refer them and earn attractive royalties for every successful registration",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172747286%2F2740397811611%2F1%2Foriginal.20251211-061334?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=41bdcef9072d85417b6c6a8646849982,Multiple dates,,,,"regus AZ, Phoenix - 24th and Camelback",2375 East Camelback Road Suite 600,Ph No +1 469 666 9332 Phoenix,AZ,85016,https://eventbrite.com/e/leading-technical-projects-effectively-1-day-course-in-phoenix-az-tickets-1976689133409
"Business Finance Basics – Smart Decisions Made Simple! in Glendale, AZ","Unlock the power of financial literacy-join our Business Finance Basics course start making smarter, data-driven decisions with confidence! 📜 📅 🏫 🗣 🎓 In today's fast-paced business environment, financial literacy is no longer optional—it’s a critical skill for anyone who wants to lead, manage, or contribute strategically. The Business Finance Basics course from Kogniora Global empowers non-financial professionals with the knowledge and confidence to interpret financial data, create and manage budgets, and support better business decision-making. This 1-day intensive course is tailored for managers, entrepreneurs, and team leads who may not have a background in finance but are increasingly required to understand the financial implications of their work. Participants will explore the building blocks of financial statements, analyze real-life financial scenarios, and learn how to apply budgeting tools effectively. The course uses practical exercises, live instruction, and industry-relevant case studies to ensure hands-on learning with immediate takeaways. We begin by laying the foundation of why financial literacy matters and explore how finance supports the overall success of an organization. Participants will understand the role of key financial statements and their interconnections. This module introduces participants to assets, liabilities, and equity. Through real-life examples, you'll learn how to assess a company’s solvency, capital structure, and financial position at a point in time. Dive into how businesses measure profitability. Learn to interpret revenue streams, costs, and profit margins while connecting financial outcomes to strategic planning and performance management. Gain familiarity with the cash flow statement and the statement of stockholders’ equity. Learn what these statements reveal about operations, investments, and financial stability. We also touch on reporting standards for nonprofits. Understand the principles of effective budgeting, including types of budgets, what to include, and how to align budgets with strategic initiatives. In this final module, you’ll build a sample operating budget and learn to apply activity-based budgeting techniques. Learn how to track and adjust budgets to remain agile and responsive in business environments. This course is designed for professionals who are not from a finance background but increasingly engage with financial data or budgeting responsibilities, including: Finance is the language of business, and understanding it empowers you to contribute more strategically to your organization’s success. With Kogniora Global’s Business Finance Basics course:",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1059230833%2F2660078414121%2F1%2Foriginal.20250624-064405?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=0b1969bef8adc8634bff3873bf072279,Multiple dates,,,,For venue details reach us at: info@kogniora.com,"Glendale, AZ",Glendale,AZ,85301,https://eventbrite.com/e/business-finance-basics-smart-decisions-made-simple-in-glendale-az-tickets-1441114776089
Single Night For Stoners,"Weekly singles social club with chill lounge vibes, games, and easy conversation for cannabis-friendly adults. 21+ only. Every Wednesday. Tired of awkward speed dating, forced conversations, and boring singles events? This is a Think of it like a This is about We keep things fun and social with light games designed to spark conversation and laughs: You’ll be talking, laughing, and meeting people without even realizing you’re “networking.” Enjoy food, music, and a laid-back lounge atmosphere that makes it easy to relax and be yourself. Whether you’re coming to meet someone special, expand your social circle, or just enjoy a mid-week vibe — this night delivers. 📅 This event takes place at a If you’re ready for a singles night that actually feels fun — Come vibe, meet new people, and let connections happen naturally. 🌿✨",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173585448%2F2898205667771%2F1%2Foriginal.20251228-002705?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=6205aeca4cb0013b59242e66b0745c23,Multiple dates,,,,HIGH Maintenance Smoke Shop,411 South Mill Avenue,103 Tempe,AZ,85281,https://eventbrite.com/e/single-night-for-stoners-tickets-1979131808516
1st Friday Fun w/ The Good Guys,Come join us,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176717279%2F2398461360873%2F1%2Foriginal.20260204-211255?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=ca8f0301794d4e7e9b3a671de2a3bf03,Multiple dates,,,,Lacuna Phoenix,914 North 5th Street,Phoenix,AZ,85004,https://eventbrite.com/e/1st-friday-fun-w-the-good-guys-tickets-1979618796109
"Intro to AI in Digital Marketing & Leadership – 1 Day Course in Phoenix, AZ","Empower your marketing leadership with AI-driven insights, automation, and new ways of thinking about digital strategy. Save Duration: 1 Full Day (8 Hours) This workshop introduces the practical use of AI in modern marketing while strengthening essential leadership capabilities for digital environments. Participants learn how to use AI tools for content creation, campaign planning, analytics, and customer engagement. The course also focuses on leading teams through digital change, fostering innovation, and making confident data-backed decisions. No technical background is required, the session emphasizes practical workflows and real-world marketing applications. • Understand how AI is transforming marketing workflows • Marketing Managers & Digital Strategists Marketing is evolving fast — and professionals need both AI capability and leadership clarity to stay competitive. This course shows you how to combine strategic thinking with AI-driven execution to improve performance, creativity, and decision-making. You will leave with practical workflows, leadership strategies, and a personalized action plan they can apply immediately. Know a team or professional who could benefit from our workshops? Refer them and earn attractive royalties for every successful registration",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172673494%2F2740397811611%2F1%2Foriginal.20251210-103531?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=12677f0be65282fd5ca88a82b9209389,Multiple dates,,,,"regus AZ, Phoenix - 24th and Camelback",2375 East Camelback Road Suite 600,Ph No +1 469 666 9332 Phoenix,AZ,85016,https://eventbrite.com/e/intro-to-ai-in-digital-marketing-leadership-1-day-course-in-phoenix-az-tickets-1976710276649
Street Five Sip & Shop at Tap That Downtown,"Get ready to sip on some local brews and shop 'til you drop in downtown - it's going to be a fun-filled day of drinks and shopping! Welcome to Tap That Downtown is a Bar and Resturant Located in the Heart of Roosevelt Row. Tap That was born from the love of beer. We have a thirty-five, self-serve tap concept that gives you the ability to enjoy a constant rotation of craft beers, a variety of wine, champagne, and a menu made with the freshest ingredients. Join our vibrant marketplace, open to innovative small businesses of all levels and crafts. We're excited to welcome boutiques and resellers who showcase their products with flair and creativity. Our marketplace maintains high standards, and we reserve the right to remove vendors who don't accurately represent their products' origins. Set up Time is 4:00 PM-4:45 PM Vendors must be ready to sell by 5:00 PM. You may begin packing up no earlier than 9:45 pm and must be off the property by 11:00 pm. Set up Time is 10:00AM-10:45 AM Vendors must be ready to sell by 11:00 AM. You may begin packing up no earlier than 3:45 pm and must be off the property by 5:00 pm.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1172672034%2F620825780463%2F1%2Foriginal.20251210-095929?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.045&fp-y=0.561&s=2f505f73f32ee6bbbe65a5f01a9c6518,Multiple dates,,,,Tap That Downtown,909 North 5th Street,Phoenix,AZ,85004,https://eventbrite.com/e/street-five-sip-shop-at-tap-that-downtown-tickets-1544083568519
The She E O Collective,"A day not to miss! Full of amazing female speakers, breakfast, lunch, happy hour, raffle prizes, freebies and community! A She E O Collective event is more than just a day out—it’s an experience designed to elevate every area of your life in the most fun, energizing, and empowering way. From the moment you walk in, you’ll feel the energy of a room filled with driven, like-minded women who are all committed to growth, connection, and becoming the She E O of their own lives. The atmosphere is welcoming, uplifting, and full of possibility. You can expect: You’ll leave feeling refreshed, inspired, and more confident in your next steps—whether that’s in your business, your health, your finances, or your personal life. It’s not just an event—it’s a community, a reset, and a reminder of what’s possible when women come together with intention.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178242420%2F344161357825%2F1%2Foriginal.20260223-205929?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=8d4a678a33f139f1b169aacd20d0f2cb,04/18/2026,09:00 AM,04/18/2026,04:00 PM,5355 E High St 129,5355 East High Street,129 Phoenix,AZ,85054,https://eventbrite.com/e/the-she-e-o-collective-tickets-1983822458376
"Effective Vendor Management 1-Day Workshop|Glendale, AZ","Get ready to level up your skills in managing vendors like a pro at our intensive 1-day workshop - it's time to take control! Effective vendor management is crucial to ensuring successful project outcomes, cost savings, and strong supplier relationships. ✅ Importance and key components of an effective vendor management strategy Project Managers 🎓 All participants will receive a Want this course delivered at your workplace or for your team? We offer customized onsite and virtual sessions for companies.📩 Email us at",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1170613692%2F2758570858651%2F1%2Foriginal.20251110-182816?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.571&fp-y=0.233&s=70acd1613503204a366480d9171cd009,Multiple dates,,,,For venue details reach us at info@learnerring.com,PH: +1 505 369 2908,Glendale,AZ,85304,https://eventbrite.com/e/effective-vendor-management-1-day-workshopglendale-az-tickets-1968407053485
